codice_fornitore,nome_esolver,nome_pf,voce_id,is_intercompany,is_excluded,exclude_reason,societa_id
734,LEONE S.R.L.,LEONE S.R.L.,USCITE_VARIE_EXT,False,False,,INTUR
325,ALFERA S.R.L.,ALFERA S.R.L.,USCITE_MATERIE_PRIME,False,False,,INTUR
596,BABBI SRL,BABBI SRL,USCITE_MATERIE_PRIME,False,False,,INTUR
64,PARAVIA ELEVATORS SRL,PARAVIA ELEVATORS SRL,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1054,O.V.I.T. SRL,O.V.I.T. SRL,USCITE_VARIE_EXT,False,False,,INTUR
158,GALLO GIOVANNI & C. SNC,GALLO GIOVANNI & C. SNC,USCITE_MATERIE_PRIME,False,False,,INTUR
44,VODAFONE ITALIA S.p.A.,Vodafone (da ribaltare),USCITE_UTENZE,False,False,,INTUR
15,Altamira Srl,Altamira Srl,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
236,RISTORANTE GIARDINIELLO SRL,RISTORANTE GIARDINIELLO SRL,,False,True,una_tantum,INTUR
48,B. & G. DI PALO DISTRIBUZIONE ALIMENTARE S.R.L.,B&G Di Palo,USCITE_UTENZE,False,False,,INTUR
853,Banca Sella S.p.A.,Banca sella - canone e-commerce RID,USCITE_COMMISSIONI,False,False,,INTUR
1034,ORIL SRL,ORIL SRL,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
796,RAIA LIBERATO,RAIA LIBERATO,,False,True,una_tantum,INTUR
1035,IDRO-TOP S.R.L.,IDRO-TOP SRL,USCITE_MATERIE_PRIME,False,False,,INTUR
142,GENERAL BEVERAGE S.R.L.,GENERAL BEVERAGE S.R.L.,USCITE_MATERIE_PRIME,False,False,,INTUR
1048,MEDITERRANEO SNC DI TRAMONTANO,MEDITERRANEO SNC DI TRAMONTANO,,False,True,una_tantum,INTUR
1426,RASTELLI ANTONIA,Rastrelli Antonia,USCITE_MATERIE_PRIME,False,False,,INTUR
211,VULAJ PASQUALE,Vulaj (Ceramica),USCITE_MATERIE_PRIME,False,False,,INTUR
