societa_id,voce_id,sotto_voce,tipo,codice_fornitore,cod_conto_pattern,nome_esolver
ORTI,USCITE_SALARI,Altri costi personale,CATEGORIA,,670351,
ORTI,USCITE_SALARI,Formazione sicurezza,CATEGORIA,,670390,
ORTI,USCITE_SALARI,Software reclutamento,CATEGORIA,,670391,
ORTI,USCITE_SALARI,Vestiario dipendenti,CATEGORIA,,670394,
ORTI,USCITE_SALARI,F24 (ritenute dipendenti),CATEGORIA,,350301,
ORTI,USCITE_SALARI,F24 (ritenute professionisti),CATEGORIA,,350305,
ORTI,USCITE_SALARI,F24 (INPS),CATEGORIA,,370101,
ORTI,USCITE_SALARI,F24 (INAIL),CATEGORIA,,370105,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_TASSE — IMU, IVA, TARI, imposte di soggiorno, IRES/IRAP
# cod_conto_pattern: il d_voci mappa a 63051 (spese amm.) ma le vere tasse sono 71.xx
# TODO: Stefano conferma quali cod_conto vanno sotto questa voce PF
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_TASSE,IMU,CATEGORIA,,710104,
ORTI,USCITE_TASSE,Diritti camerali,CATEGORIA,,710105,
ORTI,USCITE_TASSE,Imposta di registro,CATEGORIA,,710191,
ORTI,USCITE_TASSE,Diritti SIAE,CATEGORIA,,710190,
ORTI,USCITE_TASSE,TARI,CATEGORIA,,630519,
ORTI,USCITE_TASSE,Assicurazioni obbligatorie,CATEGORIA,,630515,
ORTI,USCITE_TASSE,Spese amministrative,CATEGORIA,,630511,
ORTI,USCITE_TASSE,Spese generali varie,CATEGORIA,,630551,
ORTI,USCITE_TASSE,IVA su acquisti,CATEGORIA,,350101,
ORTI,USCITE_TASSE,IVA su vendite,CATEGORIA,,350103,
ORTI,USCITE_TASSE,IVA su corrispettivi,CATEGORIA,,350105,
ORTI,USCITE_TASSE,Imposta di soggiorno HOTEL,CATEGORIA,,390590,
ORTI,USCITE_TASSE,Imposta di soggiorno CVM,CATEGORIA,,390593,
ORTI,USCITE_TASSE,Ritenute professionisti (1040),CATEGORIA,,350305,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_MUTUI — Mutui e finanziamenti (fonte BANCHE, non ESOLVER)
# I mutui non hanno cod_conto CE — sono movimenti bancari (tipo_movimento)
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_MUTUI,Mutuo MPS (ex Intesa),CATEGORIA,,310394,
ORTI,USCITE_MUTUI,Finanziamenti medio/lungo,CATEGORIA,,310305,
ORTI,USCITE_MUTUI,Interessi passivi su mutui,CATEGORIA,,750305,
